Score	Word		        Score	Count	Total			
20	reaggregating		20	2	40			
20	reintegrating		19	4	76			
19	entertaining		18	8	144			
19	intenerating		17	11	187			
19	regenerating		16	15	240			
19	reinitiating		15	5	75			
18	aggregating		14	5	70			
18	gratineeing		13	1	13			
18	integrating		12	1	12			
18	itinerating		11	6	66			
18	reattaining		10	18	180			
18	reintegrate		9	32	288			
18	reiterating		8	59	472			
18	retargeting		7	126	882			
17	entraining		6	117	702			
17	entreating		5	81	405			
17	garnierite		1	46	46			
17	generating				3898	Grand Total	
17	greatening							
17	ingratiate							
17	interregna							
17	intreating							
17	regranting							
17	retraining							
17	retreating							
16	argentine							
16	argentite							
16	gartering							
16	integrate							
16	intergang							
16	iterating							
16	nattering							
16	rattening							
16	regrating							
16	retagging							
16	retaining							
16	retearing							
16	tangerine							
16	targeting							
16	tattering							
15	aerating							
15	gnattier							
15	gratinee							
15	interage							
15	treating							
14	granite							
14	gratine							
14	ingrate							
14	tangier							
14	tearing							
13	reengineering							
12	ingratiating							
11	engineering							
11	entertainer							
11	reaggregate							
11	rearranging							
11	reinterring							
11	trinitarian							
10	arraigning							
10	engraining							
10	gangrening							
10	ingraining							
10	intenerate							
10	irrigating							
10	irritating							
10	reengaging							
10	reengineer							
10	reentering							
10	regenerate							
10	regreening							
10	regreeting							
10	regretting							
10	reigniting							
10	reinitiate							
10	retreatant							
10	triggering							
9	aggregate							
9	arranging							
9	arrearage							
9	entertain							
9	entrainer							
9	garnering							
9	gettering							
9	gingering							
9	greengage							
9	gregarine							
9	interning							
9	interring							
9	intrigant							
9	itinerant							
9	itinerate							
9	narrating							
9	nitrating							
9	rearrange							
9	reearning							
9	reentrant							
9	regaining							
9	regearing							
9	regretter							
9	reiterate							
9	renigging							
9	rerigging							
9	retinting							
9	retreater							
9	teetering							
9	tentering							
9	titrating							
9	tittering							
8	agrarian							
8	agreeing							
8	aigrette							
8	anearing							
8	angering							
8	anteater							
8	antiarin							
8	arginine							
8	arranger							
8	attainer							
8	attiring							
8	engineer							
8	enraging							
8	entering							
8	gangrene							
8	garaging							
8	generate							
8	gnarring							
8	grainier							
8	graining							
8	granting							
8	greegree							
8	greenier							
8	greening							
8	greeting							
8	grinning							
8	grittier							
8	gritting							
8	inerrant							
8	inertiae							
8	internee							
8	intertie							
8	irrigate							
8	irritant							
8	irritate							
8	narrater							
8	rattener							
8	reattain							
8	reengage							
8	regainer							
8	reigning							
8	reignite							
8	reneging							
8	renitent							
8	retainer							
8	retarget							
8	retiarii							
8	retinene							
8	retinite							
8	retirant							
8	retiring							
8	tartrate							
8	teenager							
8	terraria							
8	titterer							
8	training							
8	triaging							
8	triennia							
8	trigging							
7	aginner							
7	airting							
7	anergia							
7	angaria							
7	angrier							
7	antiair							
7	arenite							
7	arietta							
7	ariette							
7	arraign							
7	arrange							
7	attrite							
7	eagerer							
7	earning							
7	earring							
7	engager							
7	engrain							
7	enterer							
7	entrain							
7	entrant							
7	entreat							
7	etagere							
7	garring							
7	gearing							
7	ginnier							
7	girning							
7	girting							
7	gittern							
7	grainer							
7	granger							
7	granita							
7	grannie							
7	grantee							
7	granter							
7	grating							
7	greaten							
7	greater							
7	greeing							
7	greener							
7	greenie							
7	greeter							
7	grinner							
7	igniter							
7	inertia							
7	ingrain							
7	integer							
7	interne							
7	intrant							
7	intreat							
7	iterant							
7	iterate							
7	naggier							
7	narrate							
7	nattier							
7	nearing							
7	negater							
